	N61311_untreated	N61311_dex	N052611_untreated	N052611_dex	N080611_untreated	N080611_dex	N61311R_untreated	N61311R_dex
ENSG00000131137	11319	5105	8490	6904	7821	4855	10098	5838
ENSG00000154793	25	23	14	16	8	10	20	9
ENSG00000227451	118	124	132	142	146	115	99	128
ENSG00000198107	11	12	12	12	9	18	5	15
ENSG00000197255	17	17	33	15	19	10	19	28
ENSG00000138640	81	188	221	153	227	207	246	179
ENSG00000136871	450	309	179	308	266	468	389	261
ENSG00000128789	7	9	4	10	6	16	13	10
ENSG00000150595	1012	2453	1005	1231	940	1833	1008	872
ENSG00000229504	49	27	51	17	36	12	44	22
ENSG00000159785	1901	751	1570	1420	794	1129	3472	1591
ENSG00000249659	68	76	105	82	164	125	138	224
ENSG00000180606	454	1070	1008	1049	1362	1060	1160	1106
ENSG00000130307	461	362	660	408	99	528	602	430
ENSG00000168759	88	91	65	49	54	90	108	92
ENSG00000190866	407	478	405	416	239	348	483	351
ENSG00000145513	4	9	10	19	13	13	2	9
ENSG00000130004	24	9	27	10	25	13	40	16
ENSG00000155305	82	74	58	46	40	48	120	45
ENSG00000151950	1943	1410	1448	2335	1340	1715	2006	2434
ENSG00000235456	43	18	36	35	18	37	61	20
ENSG00000174798	11	38	73	24	55	74	25	43
ENSG00000196246	2627	3712	2720	9177	2619	5000	3083	5857
ENSG00000218139	146	108	138	116	176	194	172	195
ENSG00000117112	67	291	142	178	125	221	146	83
ENSG00000221485	2	16	14	13	14	18	15	10
ENSG00000232538	167	173	105	170	107	141	130	259
ENSG00000234872	444	337	755	624	760	553	588	672
ENSG00000153907	178	188	171	87	135	137	64	110
ENSG00000111754	305	602	928	900	1509	501	813	779
ENSG00000134930	223	364	252	260	181	468	431	176
ENSG00000215519	1125	1227	1535	837	879	1764	1018	752
ENSG00000126492	582	378	472	826	554	1235	638	733
ENSG00000157235	123	98	116	102	74	111	80	145
ENSG00000134474	404	795	1390	1216	689	669	1304	980
ENSG00000228569	5759	3563	2817	4321	4905	7012	6830	5213
ENSG00000104254	389	339	218	268	192	385	204	278
ENSG00000104928	12	15	11	19	20	9	7	6
ENSG00000138710	210	268	247	332	120	227	231	271
ENSG00000156526	112	143	142	87	100	115	130	162
ENSG00000105318	13414	34682	28646	25265	16767	19501	35179	33145
ENSG00000203939	971	424	539	1227	580	334	610	543
ENSG00000244312	12	4	21	8	13	8	12	7
ENSG00000178808	94	230	64	175	92	67	114	55
ENSG00000142857	3085	3099	3200	1998	5132	4836	2506	1811
ENSG00000110943	12	12	6	9	5	22	22	21
ENSG00000201788	50	52	73	78	43	58	44	35
ENSG00000162948	115	102	215	155	151	161	110	207
ENSG00000118275	150	110	79	47	164	88	72	129
ENSG00000128781	77	20	43	42	32	54	34	34
ENSG00000210287	281	192	503	274	381	133	659	192
ENSG00000215336	9	15	13	6	3	8	8	10
ENSG00000227231	103	40	146	55	98	30	109	17
ENSG00000224703	93	73	34	55	42	23	40	58
ENSG00000203550	69	108	79	27	112	76	64	79
ENSG00000131013	45	96	96	52	54	90	42	135
ENSG00000215189	153	160	117	125	141	99	81	122
ENSG00000142230	66	60	48	49	39	66	46	68
ENSG00000140030	35	60	58	85	47	88	61	70
ENSG00000175015	612	305	531	314	761	312	780	325
ENSG00000193397	502	1004	855	780	941	1108	873	1072
ENSG00000115837	1422	1054	850	907	886	661	586	772
ENSG00000191304	22	14	22	19	16	13	14	4
ENSG00000106369	711	152	427	215	494	235	543	180
ENSG00000162560	269	433	750	560	727	653	510	544
ENSG00000166932	70	113	118	62	78	51	76	54
ENSG00000142424	355	406	429	474	388	372	452	183
ENSG00000151598	61	74	130	85	65	66	90	96
ENSG00000179042	266	261	240	363	273	443	426	286
ENSG00000133797	0	4	6	12	8	8	4	2
ENSG00000242048	661	546	476	309	580	418	411	582
ENSG00000203043	41	31	37	38	39	56	56	82
ENSG00000191889	35	45	40	33	18	33	36	22
ENSG00000196756	60	67	89	98	54	123	91	66
ENSG00000137147	732	1298	1056	851	885	1009	929	745
ENSG00000175017	791	1074	1274	813	1136	1062	775	948
ENSG00000151623	406	273	235	201	239	84	188	252
ENSG00000107628	1168	1112	773	675	900	698	1672	1012
ENSG00000169150	31	58	33	35	47	60	74	70
ENSG00000141463	16	8	11	10	12	14	12	19
ENSG00000241064	3	4	4	2	2	5	9	0
ENSG00000231954	153	123	113	165	125	71	80	116
ENSG00000204389	115	101	158	157	65	91	82	37
ENSG00000126668	132	200	154	203	194	180	190	232
ENSG00000213226	233	232	137	226	239	76	243	176
ENSG00000101985	2134	981	2130	1746	1219	1823	2199	1449
ENSG00000214744	35	34	19	17	33	16	27	13
ENSG00000189506	38	32	41	27	18	34	22	31
ENSG00000189968	6342	4180	5901	9356	6374	6368	4422	5205
ENSG00000173659	597	497	877	352	709	668	1054	470
ENSG00000113461	98	103	122	67	48	107	94	86
ENSG00000152004	5	2	3	2	1	2	3	4
ENSG00000172263	22	38	20	23	21	22	26	23
ENSG00000101127	100	89	33	85	48	109	59	57
ENSG00000153587	128	152	68	168	91	242	74	155
ENSG00000178323	205	245	66	94	258	234	198	179
ENSG00000189520	72	53	110	80	54	52	51	129
ENSG00000161077	1467	843	1788	1681	352	694	1189	1343
ENSG00000105253	13	10	12	10	4	16	19	11
ENSG00000107439	84	28	84	66	115	48	50	89
ENSG00000149004	45	24	33	24	55	38	31	46
ENSG00000192082	386	872	406	747	396	659	823	670
ENSG00000174897	352	209	297	272	388	161	822	120
ENSG00000143317	595	796	523	715	421	560	693	775
ENSG00000230731	230	203	240	185	110	201	209	147
ENSG00000180422	81000	38869	29344	34944	49855	34515	24597	48316
ENSG00000165559	416	639	365	471	658	634	610	699
ENSG00000120019	37	18	44	27	45	37	53	28
ENSG00000228604	115	183	120	53	146	153	129	140
ENSG00000128971	60	70	32	47	48	53	21	73
ENSG00000101469	998	463	905	479	758	563	546	207
ENSG00000198801	1401	812	1174	647	2658	1141	2304	707
ENSG00000163544	302	185	244	254	259	265	255	234
ENSG00000222716	173	43	74	60	125	78	134	69
ENSG00000220212	32	35	27	35	45	47	37	44
ENSG00000208884	2354	2740	2593	3425	5120	4004	3332	2274
ENSG00000186249	1586	816	1297	1184	1352	997	1143	1611
ENSG00000169689	0	1	1	1	0	0	1	0
ENSG00000206617	216	186	89	128	140	116	168	202
ENSG00000234009	15	33	26	53	41	34	6	47
ENSG00000104937	59	22	57	89	45	94	56	97
ENSG00000130675	3484	3493	2800	5508	3208	4680	4875	5818
ENSG00000175711	6	15	8	20	13	9	13	17
ENSG00000210557	24	24	28	4	28	29	48	18
ENSG00000160700	20846	17014	15387	23812	19495	26936	17771	11523
ENSG00000205584	68	57	74	40	25	19	62	52
ENSG00000205454	103	67	92	101	117	86	91	138
ENSG00000159626	1611	1287	2765	1161	1581	814	1422	1101
ENSG00000126333	90	64	42	55	17	26	52	64
ENSG00000167063	106	142	179	167	208	130	160	76
ENSG00000205450	215	268	167	260	191	170	178	150
ENSG00000190392	2574	2812	4742	3022	3200	2016	1780	2355
ENSG00000124842	13	4	11	2	4	9	3	3
ENSG00000137351	36	34	52	11	15	31	50	15
ENSG00000213911	128	72	293	107	208	107	336	151
ENSG00000118774	1315	799	1055	866	750	886	673	1080
ENSG00000194905	33	55	65	34	54	54	38	47
ENSG00000217857	651	282	186	301	306	241	328	419
ENSG00000171944	30	57	42	66	23	41	64	57
ENSG00000178016	85	50	70	88	86	90	65	76
ENSG00000122901	932	1931	2065	2048	2156	1381	1865	1602
ENSG00000238248	77	123	77	65	99	52	196	59
ENSG00000176811	49263	48601	35096	67271	38848	20426	21537	58344
ENSG00000218266	348	325	934	205	499	210	565	321
ENSG00000115598	1085	2456	975	1586	813	2272	2039	1979
ENSG00000200875	558	321	371	578	557	490	559	817
ENSG00000230790	5	2	8	9	1	10	9	3
ENSG00000121416	6	6	2	6	6	7	4	5
ENSG00000219361	458	297	394	702	406	268	446	236
ENSG00000155308	13	10	13	18	25	20	28	25
ENSG00000197265	43	58	60	84	40	34	63	44
ENSG00000118779	74	79	45	76	117	85	72	62
ENSG00000175527	30	17	25	20	21	21	31	39
ENSG00000197794	1462	3091	1868	1480	1099	1647	1410	1197
ENSG00000193695	554	926	767	854	807	326	570	702
ENSG00000125570	168	273	290	208	262	133	134	222
ENSG00000175743	412	389	666	378	471	428	291	570
ENSG00000237009	49	14	19	21	18	19	26	44
ENSG00000108450	1084	1590	758	326	694	745	601	1458
ENSG00000157158	50	27	38	45	9	18	24	15
ENSG00000142168	3966	2670	3733	3839	3968	3311	2578	4794
ENSG00000226225	43	23	56	40	37	18	35	26
ENSG00000133327	55	23	55	33	32	53	25	49
ENSG00000222076	1892	1548	1360	1227	1673	1452	1398	876
ENSG00000153518	561	968	404	512	699	476	449	776
ENSG00000163050	9	20	20	19	37	12	25	22
ENSG00000199755	403	654	965	445	1122	705	1089	353
ENSG00000142866	262	168	81	106	180	122	189	232
ENSG00000188177	204	202	153	123	101	125	161	120
ENSG00000224673	523	378	283	530	586	372	673	368
ENSG00000117321	509	405	542	524	444	692	467	270
ENSG00000152686	1748	1433	2341	1169	2020	1413	1188	964
ENSG00000148672	379	339	341	316	206	431	155	336
ENSG00000187544	342	192	167	380	421	255	304	374
ENSG00000108404	84	132	187	155	135	139	220	192
ENSG00000195764	2788	2292	2159	2782	3018	3291	2648	1389
ENSG00000235033	24	30	39	22	24	41	45	28
ENSG00000183470	4905	5581	4693	5830	5098	4216	6660	7272
ENSG00000223538	22766	10237	14875	11683	15113	17589	7745	12881
ENSG00000242356	15050	5976	15489	12201	11321	13816	9442	5778
ENSG00000155644	147	125	95	79	133	119	119	105
ENSG00000155218	10983	10778	8171	15814	10328	8785	7870	10789
ENSG00000228480	1851	1048	1850	1270	1181	1547	2064	1127
ENSG00000199977	1076	1793	1150	1629	2285	1137	2196	1476
ENSG00000244583	47851	39015	44286	30669	41114	42449	33209	29752
ENSG00000154120	192	308	214	159	185	132	100	308
ENSG00000132242	194	725	372	751	427	518	223	458
ENSG00000191687	9	10	11	16	18	6	9	11
ENSG00000236001	1	0	2	2	1	3	0	2
ENSG00000143254	228	223	337	370	201	283	319	191
ENSG00000206725	299	217	483	448	588	495	302	300
ENSG00000134805	890	526	695	568	359	475	562	632
ENSG00000134779	327	178	172	257	182	168	237	200
ENSG00000130230	1	2	3	6	3	3	4	0
ENSG00000108711	327	347	213	457	236	330	260	245
ENSG00000113655	926	862	1819	687	1714	1426	1597	773
ENSG00000131358	3265	3397	2893	2599	2884	2523	3539	3091
ENSG00000128365	31	15	11	9	12	31	34	12
ENSG00000200734	21	19	15	36	34	17	25	19
ENSG00000231803	37	41	32	44	60	39	35	34
ENSG00000160117	52	26	18	45	25	56	49	39
ENSG00000156797	6	6	5	8	8	4	6	1
ENSG00000135116	15	34	48	16	47	22	46	36
ENSG00000116814	5274	3939	2436	4337	4441	2323	3085	6591
ENSG00000120963	26	8	15	36	12	14	15	17
ENSG00000150010	1	2	1	4	3	5	3	5
ENSG00000237837	106	82	119	106	122	76	272	82
ENSG00000178814	48	36	68	33	90	39	50	58
ENSG00000152653	370	779	1035	532	562	496	558	643
ENSG00000139748	21	32	46	39	55	33	28	23
ENSG00000156575	105	107	79	81	113	161	86	149
ENSG00000148865	30	35	32	20	50	45	74	9
ENSG00000165248	22	9	30	32	32	18	15	28
ENSG00000155347	282	422	368	448	265	443	475	248
ENSG00000139791	226	191	264	246	189	246	108	191
ENSG00000202340	90	195	136	121	152	130	148	213
ENSG00000178545	739	396	461	230	343	580	465	304
ENSG00000190685	17	27	37	17	33	31	20	14
ENSG00000212557	140	208	110	91	165	162	110	307
ENSG00000137258	254	201	192	237	264	206	274	226
ENSG00000214894	4858	521	2555	2159	3603	1767	3798	1307
ENSG00000159517	7	2	1	3	2	1	2	3
ENSG00000241090	154	49	118	47	140	72	146	153
ENSG00000165484	395	444	451	474	323	427	231	397
ENSG00000194785	19	57	38	41	32	40	21	52
ENSG00000142889	152	192	174	120	89	184	164	127
ENSG00000157074	719	528	640	673	567	720	538	379
ENSG00000150457	377	360	325	273	381	268	302	293
ENSG00000209182	1	2	7	4	1	4	4	6
ENSG00000218907	10	21	11	8	10	14	10	12
ENSG00000118097	0	3	0	1	2	1	0	1
ENSG00000206547	570	558	354	376	383	234	587	780
ENSG00000228122	115	244	153	217	139	166	338	188
ENSG00000206884	2010	2082	788	1186	2907	1534	2181	3441
ENSG00000151463	173	146	214	200	110	163	166	148
ENSG00000120090	20	11	11	15	16	23	9	12
ENSG00000188059	1197	1743	1187	1642	1282	877	1117	1824
ENSG00000227316	5	15	11	6	13	21	10	13
ENSG00000228119	123	251	116	114	96	110	120	165
ENSG00000161880	110	62	132	97	55	105	147	128
ENSG00000221909	775	840	447	635	726	693	594	544
ENSG00000117087	1270	645	1340	1551	672	1014	1489	1146
ENSG00000182296	53	31	51	74	48	92	73	56
ENSG00000206726	36	40	117	27	51	27	70	36
ENSG00000168119	84	126	106	52	157	150	167	146
ENSG00000136108	42	53	55	40	71	72	54	39
ENSG00000135024	881	578	580	1479	650	1013	842	581
ENSG00000144778	421	232	253	244	196	309	235	325
ENSG00000225204	1752	2289	1952	2519	2150	2814	1509	2594
ENSG00000133685	28518	22938	36225	32304	39555	19086	20423	24650
ENSG00000148763	43	35	10	41	26	13	27	19
ENSG00000191579	67	30	97	16	99	38	88	56
ENSG00000195007	318	301	405	296	454	294	316	344
ENSG00000170789	238	555	444	294	316	317	246	311
ENSG00000127097	57	107	94	69	82	86	38	59
ENSG00000141402	3	6	6	2	5	7	3	4
ENSG00000191094	28660	26306	29409	26144	16800	31866	20847	29184
ENSG00000150756	139	124	225	166	203	106	181	131
ENSG00000134252	20	23	10	10	29	7	18	14
ENSG00000147262	2	0	0	4	2	2	2	0
ENSG00000176040	1188	3281	1884	651	2217	1806	2179	3743
ENSG00000106150	145	253	131	268	347	191	191	255
ENSG00000188415	67	161	205	153	102	157	136	76
ENSG00000132412	26	15	16	33	14	12	21	9
ENSG00000183421	155	82	263	120	269	57	170	110
ENSG00000149223	71	60	95	71	59	61	75	49
ENSG00000115859	1	0	0	4	0	1	2	1
ENSG00000126389	33288	37878	38316	31045	27289	29255	19811	18654
ENSG00000204882	506	144	301	320	317	542	363	238
ENSG00000149887	57	119	53	97	153	58	82	32
ENSG00000186449	49	27	40	11	40	11	46	23
ENSG00000224428	36	25	58	24	105	32	49	35
ENSG00000249810	19119	26336	29350	18548	32284	24720	25172	7407
ENSG00000222726	529	281	301	322	228	281	551	340
ENSG00000136300	15	5	10	8	6	10	7	8
ENSG00000171176	529	844	536	842	559	582	448	893
ENSG00000185784	320	333	294	403	339	408	372	345
ENSG00000236157	207	381	278	366	251	303	498	246
ENSG00000129962	67	136	88	119	93	109	90	104
ENSG00000142718	288	47	311	120	138	103	235	179
ENSG00000244482	280	201	309	250	156	499	348	235
ENSG00000195525	45	67	89	94	54	107	112	85
ENSG00000184221	6	17	7	5	3	7	7	7
ENSG00000122600	32	27	30	14	10	20	26	11
ENSG00000156236	149	140	153	112	274	129	151	146
ENSG00000197866	2	4	7	6	3	5	0	2
ENSG00000192292	105	60	70	102	190	85	108	50
ENSG00000139592	104	79	44	49	33	97	73	97
ENSG00000236642	891	410	1060	883	899	537	1123	982
ENSG00000194863	160	266	191	173	202	159	272	116
ENSG00000227583	71	46	111	46	45	58	72	133
ENSG00000129472	82	74	59	26	86	58	50	72
ENSG00000222108	409	297	411	232	310	324	359	279
ENSG00000206606	666	1196	894	350	577	809	1029	414
ENSG00000239121	16	15	11	14	12	25	12	10
ENSG00000149482	14	6	11	8	4	2	4	5
ENSG00000240914	37	16	37	46	76	24	37	50
ENSG00000159344	1	0	1	1	1	1	0	6
ENSG00000139540	31	29	28	31	38	23	19	24
ENSG00000223285	397	1125	756	603	1030	681	958	809
ENSG00000220500	1375	884	962	1459	730	1117	1156	993
ENSG00000140350	1613	4232	3969	2927	2501	1992	4735	1604
ENSG00000117441	168	187	103	92	204	103	148	92
ENSG00000114470	119	208	180	182	179	247	128	332
ENSG00000134725	34	31	37	47	54	52	30	56
ENSG00000203307	29	19	36	65	75	38	42	32
ENSG00000162994	292	301	298	299	207	118	157	292
ENSG00000217474	834	839	1216	525	929	478	566	1227
ENSG00000196685	213	320	229	252	266	390	239	451
ENSG00000164508	6	1	6	4	11	4	10	1
ENSG00000232825	533	528	291	416	357	378	275	458
ENSG00000202913	197	88	117	128	223	95	240	140
ENSG00000227872	77	43	113	27	117	57	47	57
ENSG00000203816	172	182	262	287	258	367	105	214
ENSG00000157333	3399	1644	990	777	1763	1113	2409	963
ENSG00000149090	125	194	243	216	168	166	166	204
ENSG00000137144	54	22	23	16	33	40	46	27
ENSG00000147622	81957	45793	119822	41564	62683	47845	95422	37374
ENSG00000115333	45	21	101	86	126	20	65	25
ENSG00000244567	129	297	281	403	201	790	448	225
ENSG00000149911	1514	1848	1710	1446	1318	854	2027	1689
ENSG00000149812	38	27	25	29	49	41	22	44
ENSG00000202268	249	545	530	581	488	308	769	482
ENSG00000188346	32	27	65	22	46	13	38	31
ENSG00000215354	62	48	99	36	114	95	105	46
ENSG00000218913	28	44	29	50	39	30	30	36
ENSG00000130233	5374	4319	11495	6911	3098	2914	7141	2226
ENSG00000113201	8	11	5	10	9	9	8	9
ENSG00000241799	322	419	410	373	393	442	623	266
ENSG00000193418	186	154	245	119	146	108	143	124
ENSG00000195582	5	1	2	0	9	2	2	6
ENSG00000115560	4140	4463	3868	7992	4395	4709	4953	5264
ENSG00000184292	34	56	34	46	59	45	42	33
ENSG00000170389	74	154	93	54	92	24	98	75
ENSG00000129940	216	152	115	176	274	168	86	239
ENSG00000122712	22	17	10	19	23	8	18	14
ENSG00000164724	16	37	24	25	12	56	39	47
ENSG00000157726	141	104	112	76	132	128	97	140
ENSG00000229460	50	13	23	19	42	22	25	14
ENSG00000111044	243	223	149	110	113	115	191	134
ENSG00000237183	864	1897	1738	973	1188	2900	2305	2534
ENSG00000231023	28	7	17	25	19	8	12	13
ENSG00000122557	8	5	4	6	3	2	2	4
ENSG00000249632	139	74	212	103	101	92	156	136
ENSG00000106427	347	169	347	444	272	378	280	287
ENSG00000244894	366	407	503	539	382	426	471	441
ENSG00000193032	23	27	12	30	14	8	15	19
ENSG00000106775	0	1	0	2	0	2	3	2
ENSG00000236060	1295	646	655	1529	751	710	929	658
ENSG00000172397	1027	374	524	960	681	335	453	595
ENSG00000188954	4055	2738	3160	4269	2032	2735	2854	3105
ENSG00000131394	28	23	11	21	23	16	22	24
ENSG00000106903	692	299	371	360	296	225	539	683
ENSG00000190678	1825	336	1147	1181	902	1322	809	495
ENSG00000172466	3	5	1	2	8	3	4	3
ENSG00000101052	1611	969	982	1236	872	2056	1144	1443
ENSG00000184835	2157	2178	1815	2282	1862	3108	2305	3218
ENSG00000171673	299	381	561	215	310	496	473	596
ENSG00000203934	586	409	1124	335	768	291	541	188
ENSG00000150669	595	507	267	630	265	530	819	648
ENSG00000187500	94	67	106	142	96	64	47	71
ENSG00000130098	13	9	7	14	10	6	7	11
ENSG00000143278	41	11	31	33	30	18	39	20
ENSG00000103644	114	55	102	101	84	149	98	66
ENSG00000207542	35	20	39	22	8	58	28	37
ENSG00000193662	1538	839	681	2644	834	1051	1026	816
ENSG00000189309	83	80	84	35	42	77	53	52
ENSG00000100764	76	115	141	134	99	168	136	139
ENSG00000240115	2	5	3	3	3	6	3	3
ENSG00000240436	246	296	332	283	310	393	206	270
ENSG00000171421	46	20	30	14	39	37	15	31
ENSG00000176413	2683	3057	2594	1844	2947	3152	3061	2585
ENSG00000247665	4	4	1	7	1	4	4	6
ENSG00000213489	207	238	319	341	323	202	324	238
ENSG00000173979	71	60	50	72	43	62	36	69
ENSG00000208273	80	65	71	77	53	25	91	70
ENSG00000177433	4487	4354	3327	4448	2294	3977	3449	4425
ENSG00000179556	1888	1100	1449	806	896	858	470	1003
ENSG00000151195	24	24	20	28	22	10	45	24
ENSG00000119373	4353	2410	2826	2069	5919	2940	4210	2859
ENSG00000154387	52	39	61	24	31	25	38	27
ENSG00000238611	698	771	880	635	698	720	357	700
ENSG00000121203	8	4	6	6	8	5	3	9
ENSG00000141996	61	42	96	71	78	61	71	81
ENSG00000214559	51	90	50	105	95	72	87	50
ENSG00000129546	78	64	53	72	74	110	55	80
ENSG00000100920	8	7	3	2	4	7	2	5
ENSG00000188497	5	4	4	2	3	0	1	11
ENSG00000172143	144	76	159	113	146	147	180	168
ENSG00000177152	423	429	380	266	467	353	277	384
ENSG00000165172	103	142	206	145	191	137	84	200
ENSG00000162737	57	77	74	76	72	106	42	60
ENSG00000206299	6	7	7	6	7	10	10	6
ENSG00000147621	81	128	69	70	89	46	66	118
ENSG00000210083	50	30	94	64	26	48	51	41
ENSG00000152092	18	28	41	43	26	48	35	24
ENSG00000108400	140	327	363	117	193	202	128	199
ENSG00000119510	185	137	272	169	342	120	144	108
ENSG00000123172	459	474	305	331	271	318	456	549
ENSG00000234148	78	124	87	36	53	68	37	109
ENSG00000156618	40	26	46	20	55	20	82	30
ENSG00000144277	115	120	75	105	108	113	93	99
ENSG00000230792	61	67	104	86	57	56	53	83
ENSG00000126829	3	5	4	3	7	0	5	6
ENSG00000189731	76	56	67	35	223	63	108	82
ENSG00000116840	4	6	4	3	3	9	10	9
ENSG00000234153	0	7	3	3	1	1	3	2
ENSG00000133093	21	24	19	13	33	21	23	21
ENSG00000226785	30	43	20	29	52	54	29	28
ENSG00000177734	415	647	413	334	322	374	554	536
ENSG00000229417	25	77	26	94	92	77	102	118
ENSG00000214870	554	261	890	518	452	566	468	658
ENSG00000133845	2299	2480	1533	2555	2853	3394	2385	1430
ENSG00000249623	206	151	103	124	212	276	183	89
ENSG00000145471	518	271	262	358	227	282	260	180
ENSG00000223715	35	52	29	21	51	32	33	51
ENSG00000181032	981	491	401	981	898	726	529	627
ENSG00000232859	110	182	181	268	168	192	155	177
ENSG00000135678	121	192	152	97	241	133	162	183
ENSG00000136865	20	11	12	9	12	22	10	19
ENSG00000142064	14	20	15	23	17	19	24	29
ENSG00000224183	73	48	51	42	52	21	61	56
ENSG00000123014	121	254	195	242	114	127	160	227
ENSG00000130366	2409	1485	4442	787	1851	1089	2374	1250
ENSG00000245932	3	6	8	4	6	11	3	5
ENSG00000122428	84	62	44	71	62	92	72	82
ENSG00000109727	58	44	56	93	44	102	88	79
ENSG00000132211	39311	20715	17413	11706	20715	15087	17458	14321
ENSG00000201508	67	66	110	120	157	67	155	92
ENSG00000206210	39	61	30	39	39	32	52	76
ENSG00000170944	866	606	1125	748	526	600	426	871
ENSG00000238602	18	28	12	13	13	8	15	18
ENSG00000213417	347	372	265	433	442	828	414	522
ENSG00000165654	3	3	2	2	8	4	3	0
ENSG00000228345	7088	15296	10506	7834	12050	7113	5593	8092
ENSG00000147708	87	131	119	93	175	171	74	84
ENSG00000176780	72	56	77	84	102	61	55	74
ENSG00000191644	15	12	17	5	14	6	19	8
ENSG00000223434	129	110	77	170	66	115	123	118
ENSG00000129631	135	161	228	102	174	133	114	176
ENSG00000131805	24	27	17	33	56	19	53	25
ENSG00000127508	1719	1675	2184	2297	1344	1833	1591	1756
ENSG00000246185	99	85	35	58	78	74	54	68
ENSG00000207305	148	92	148	90	135	147	112	171
ENSG00000112999	124	313	286	184	237	315	144	234
ENSG00000235036	1976	1506	3106	1488	2454	3129	1695	2155
ENSG00000199019	71	84	52	73	74	45	74	57
ENSG00000163137	143	207	179	128	213	209	85	178
ENSG00000227692	195	102	258	372	318	205	197	237
ENSG00000110703	537	466	1590	444	676	420	1083	602
ENSG00000220702	4	5	6	6	1	4	0	2
ENSG00000239581	1690	2474	819	1802	914	1543	1539	1802
ENSG00000203444	104	98	81	97	131	75	178	139
ENSG00000189411	55	25	41	33	34	22	31	28
ENSG00000213316	101	174	161	102	160	121	187	119
ENSG00000170462	3	1	2	4	5	3	5	1
ENSG00000224175	27	53	18	22	34	48	20	36
ENSG00000222475	131	246	129	214	135	198	287	198
ENSG00000165567	1311	1934	1446	3665	1780	1373	2140	3057
ENSG00000159621	121	126	106	113	140	77	173	199
ENSG00000125454	1247	276	675	274	475	363	605	268
ENSG00000205365	76	70	55	67	36	52	92	93
ENSG00000181716	912	801	1101	852	599	615	738	944
ENSG00000208196	64	30	66	67	60	76	57	107
ENSG00000119210	406	162	321	340	329	162	527	452
